n,events,non_events,responders,prevalence,p_base,p_event,p_fisher,or,ci.low,ci.high
140,6,134,56,0.05,0.4,0,0.0809887919559625,0,0,1.24052185571219
140,15,125,56,0.1,0.4,0,0.000400558594311911,0,0,0.365622623085493
140,38,102,38,0.3,0.4,0,7.66259389037319e-07,0,0,0.186891887044712
140,74,66,20,0.5,0.4,0,4.91573378407403e-08,0,0,0.135683532954045
140,1,139,32,0.01,0.2,0.4,1,0,0,131.35689851767
140,6,134,34,0.05,0.2,0.4,0.335680348136597,0,0,2.6399207705968
140,18,122,39,0.1,0.2,0.4,0.270814514884063,1.7815662357417,0.536967677859579,5.5545323050552
140,43,97,30,0.3,0.2,0.4,0.0138696718895432,2.9033339642105,1.16155341344823,7.31197346360632
140,70,70,38,0.5,0.2,0.4,0.0357886943230555,2.42029512001998,1.05411585364672,5.77620179719908
140,2,138,20,0.01,0.2,0.2,1,0,0,32.4768833590748
